Name,Tipo de actividad,Fecha de actividad,Resultado,Resumen actividad,Responsable,Leads,Mes y Año
Carmen Rojas Fisioterapia y Pilates - Llamada,Llamada,12/5/2026,No responde,,,Carmen Rojas Fisioterapia y Pilates,12 May 2026
Nina Merli Centro de Estética - Llamada,Llamada,12/5/2026,No responde,,,Nina Merli Centro de Estética,12 May 2026
Miguel Peña Osteopatía - Llamada,Llamada,12/5/2026,No responde,,,Miguel Peña Osteopatía,12 May 2026
Clínica Dental Márquez - Llamada,Llamada,12/5/2026,Contactado,,,Clínica Dental Márquez,12 May 2026
De Vicente Dental - Llamada,Llamada,12/5/2026,Contactado,,,De Vicente Dental,12 May 2026
Clínica Dental López-Gollonet - Llamada,Llamada,12/5/2026,,,,Clínica Dental López-Gollonet,12 May 2026
Vitasthetic - Llamada,Llamada,12/5/2026,,,,Vitasthetic,12 May 2026
Clínica Diéguez - Llamada,Llamada,12/5/2026,Contactado,,,Clínica Diéguez,12 May 2026
AC Healthy & Co - Email,Email,12/5/2026,Contactado,,,AC Healthy & Co,12 May 2026
Peluquería Rodríguez - Llamada,Llamada,12/5/2026,No interesado,,,Peluquería Rodríguez,12 May 2026
Fisioterapia Granada - Email,Email,15/5/2026,No responde,,,Fisioterapia Granada,15 May 2026
Trauma Granada - Email,Email,15/5/2026,,,,Trauma Granada,15 May 2026
Diéguez Abogados - Email,Email,15/5/2026,,,,Diéguez Abogados,15 May 2026
Insúa Peluquerías - Email,Email,15/5/2026,,,,Insúa Peluquerías,15 May 2026
Salus Medical Clinic - Email,Email,15/5/2026,,,,Salus Medical Clinic,15 May 2026
Alice Beauty Concept - Email,Email,15/5/2026,,,,Alice Beauty Concept,15 May 2026
Rosa Pérez Fisioterapia - Email,Email,15/5/2026,,,,Rosa Pérez Fisioterapia,15 May 2026
Fit2Grow Granada - Email,Email,15/5/2026,,,,Fit2Grow Granada,15 May 2026
Recover Abogados - Email,Email,15/5/2026,,,,Recover Abogados,15 May 2026
Centro Suelo Pélvico Granada - Email,Email,15/5/2026,,,,Centro Suelo Pélvico Granada,15 May 2026
Proactiva Fisioterapia - Email,Email,15/5/2026,,,,Proactiva Fisioterapia,15 May 2026
Muñoz Quesada Abogados - Email,Email,15/5/2026,,,,Muñoz Quesada Abogados,15 May 2026
Abadys Abogados - Email,Email,15/5/2026,,,,Abadys Abogados,15 May 2026
FRB Abogados - Email,Email,15/5/2026,,,,FRB Abogados,15 May 2026
Clínica Centro Granada - Email,Email,15/5/2026,,,,Clínica Centro Granada,15 May 2026
Dra. Ana Maldonado - Email,Email,15/5/2026,,,,Dra. Ana Maldonado,15 May 2026
Clínica Beiman Granada - Email,Email,15/5/2026,,,,Clínica Beiman Granada,15 May 2026
Sano Center Granada - Email,Email,15/5/2026,,,,Sano Center Granada,15 May 2026
Ángel M. Peluquerías - Email,Email,15/5/2026,,,,Ángel M. Peluquerías,15 May 2026
Be/cool Granada - Email,Email,15/5/2026,,,,Be/cool Granada,15 May 2026
Uve Gara Clínica Estética - Email,Email,15/5/2026,,,,Uve Gara Clínica Estética,15 May 2026
Sigma Training Granada - Email,Email,15/5/2026,,,,Sigma Training Granada,15 May 2026
Gimnasio TNT - Email,Email,15/5/2026,,,,Gimnasio TNT,15 May 2026
Clínica Amédic - Email,Email,15/5/2026,,,,Clínica Amédic,15 May 2026
Nuria Romero Nutricionista - Email,Email,15/5/2026,,,,Nuria Romero Nutricionista,15 May 2026
Mayte García Nutrición - Email,Email,15/5/2026,,,,Mayte García Nutrición,15 May 2026
Centro Ángela Moreno - Email,Email,15/5/2026,,,,Centro Ángela Moreno,15 May 2026
Dr. Andrés Gallo Erena - Email,Email,15/5/2026,,,,Dr. Andrés Gallo Erena,15 May 2026
Podología Elena García - Email,Email,15/5/2026,,,,Podología Elena García,15 May 2026
Clínica Salus Granada - Email,Email,15/5/2026,,,,Clínica Salus Granada,15 May 2026
Clínica Veterinaria Granada - Llamada,Llamada,15/5/2026,Contactado,"La chica coge mi teléfono para que me llamen
",,Clínica Veterinaria Granada,15 May 2026
Clínica Veterinaria Campus - Email,Email,15/5/2026,,,,Clínica Veterinaria Campus,15 May 2026
Óptica Entregafas - Email,Email,15/5/2026,,,,Óptica Entregafas,15 May 2026
Óptica PTS Granada - Email,Email,15/5/2026,,,,Óptica PTS Granada,15 May 2026
Ángel Blanco Fotógrafos - Email,Email,15/5/2026,,,,Ángel Blanco Fotógrafos,15 May 2026
Numen Granada Fotografía - Email,Email,15/5/2026,,,,Numen Granada Fotografía,15 May 2026
Pablo Castro Fotografía - Email,Email,15/5/2026,,,,Pablo Castro Fotografía,15 May 2026
FotoBoda Granada - Email,Email,15/5/2026,,,,FotoBoda Granada,15 May 2026
Clínica Esfera Logopedia - Email,Email,15/5/2026,,,,Clínica Esfera Logopedia,15 May 2026
HABLA Logopedia - Email,Email,15/5/2026,,,,HABLA Logopedia,15 May 2026
Logofon Logopedia - Email,Email,15/5/2026,,,,Logofon Logopedia,15 May 2026
Centro Logopeda Granada - Email,Email,15/5/2026,,,,Centro Logopeda Granada,15 May 2026
Pozo Abogados & Asociados - Email,Email,15/5/2026,,,,Pozo Abogados & Asociados,15 May 2026
JW Entrenamiento Granada - Email,Email,15/5/2026,,,,JW Entrenamiento Granada,15 May 2026
Alarcón Psicólogos - Llamada,Llamada,15/5/2026,No responde,,,Alarcón Psicólogos,15 May 2026
Clínica de Osteopatía y Fisioterapia Javier Pérez Alguacil - Cenes de la Vega - Email,Email,15/5/2026,,,,Clínica de Osteopatía y Fisioterapia Javier Pérez Alguacil - Cenes de la Vega,15 May 2026
Manuel Cuenca Fisioterapia - Email,Email,15/5/2026,Contactado,,,Manuel Cuenca Fisioterapia,15 May 2026
Fisioterapia y Pilates en Churriana de la Vega | Cuidate - Email,Email,18/5/2026,Contactado,,,Fisioterapia y Pilates en Churriana de la Vega | Cuidate,18 May 2026
Fisioterapia Avanzada en Granada | Salvador Mora - Email,Email,18/5/2026,Contactado,,,Fisioterapia Avanzada en Granada | Salvador Mora,18 May 2026
Fisioterapia Mila Mesas - Centro de Fisioterapia y Shiatsu en Granada - Email,Email,18/5/2026,Contactado,,,Fisioterapia Mila Mesas - Centro de Fisioterapia y Shiatsu en Granada,18 May 2026
[Fisioterapia Granada] HUMAN Centro de Fisioterapia y Readaptación - Email,Email,18/5/2026,Contactado,,,[Fisioterapia Granada] HUMAN Centro de Fisioterapia y Readaptación,18 May 2026
fisioterapia Inmaculada Moya - Email,Email,18/5/2026,Contactado,,,fisioterapia Inmaculada Moya,18 May 2026
Clínica de Fisioterapia Movimiento y Vida - Email,Email,18/5/2026,Contactado,,,Clínica de Fisioterapia Movimiento y Vida,18 May 2026
Fisioterapia Granada | ACTIVA GRANADA - Email,Email,18/5/2026,Contactado,,,Fisioterapia Granada | ACTIVA GRANADA,18 May 2026
Flor Trujillo Fisioterapia y Osteopatía - Email,Email,18/5/2026,Contactado,,,Flor Trujillo Fisioterapia y Osteopatía,18 May 2026
FisioGallardo - Email,Email,18/5/2026,Contactado,,,FisioGallardo,18 May 2026
Clínica Bonadea - Email,Email,18/5/2026,Contactado,,,Clínica Bonadea,18 May 2026
FisioClínica Carlos Molina - Email,Email,18/5/2026,Contactado,,,FisioClínica Carlos Molina,18 May 2026
CIRTEMA Granada - Email,Email,18/5/2026,Contactado,,,CIRTEMA Granada,18 May 2026
Fisioterapia y Osteopatía del Sur - Email,Email,18/5/2026,Contactado,,,Fisioterapia y Osteopatía del Sur,18 May 2026
Impulsa Fisioterapia - Email,Email,18/5/2026,Contactado,,,Impulsa Fisioterapia,18 May 2026
Fisioterapia Zaidín - Email,Email,18/5/2026,Contactado,,,Fisioterapia Zaidín,18 May 2026
Duo Peluqueros - Llamada,Llamada,18/5/2026,No responde,"Están de baja, Guti y Jose",,Duo Peluqueros,18 May 2026
Vital Centro de Entrenamiento - Llamada,Llamada,18/5/2026,Contactado,Me llama esta tarde si no llamo yo mañana,,Vital Centro de Entrenamiento,18 May 2026
Galía Beauty - Llamada,Llamada,18/5/2026,No responde,,,Galía Beauty,18 May 2026
Evolution Boutique Fitness - Llamada,Llamada,18/5/2026,No responde,,,Evolution Boutique Fitness,18 May 2026
Kimo Functional Center - Llamada,Llamada,18/5/2026,No responde,Contestador directamente,,Kimo Functional Center,18 May 2026
Centro Deportivo Linea - Llamada,Llamada,18/5/2026,Interesado,"Hablo con Samuel, me dice que mañana llame ",,Centro Deportivo Linea,18 May 2026
Centro de Fisioterapia Jorge Hernández - Llamada,Llamada,18/5/2026,No interesado,Jorge trabaja con Doctoralia y ahora mismo no quiere nada. Tiene el whatsapp de trabajo el mismo que el personal,,Centro de Fisioterapia Jorge Hernández,18 May 2026
Clínica Esfera Logopedia - Llamada,Llamada,18/5/2026,Contactado,Enviar email esta tarde con la info,,Clínica Esfera Logopedia,18 May 2026
HABLA Logopedia - Llamada,Llamada,18/5/2026,No interesado,Dice que ya tiene,,HABLA Logopedia,18 May 2026
Logofon Logopedia - Llamada,Llamada,18/5/2026,No interesado,0 interés. No quiere,,Logofon Logopedia,18 May 2026
Clínica Esfera Logopedia - Email,Email,19/5/2026,Contactado,Envío correo para follow-up de ayer,,Clínica Esfera Logopedia,19 May 2026
ARTECSO Arquitectura e Ingeniería - Email,Email,19/5/2026,Contactado,,,ARTECSO Arquitectura e Ingeniería,19 May 2026
DTR Studio - Email,Email,19/5/2026,Contactado,,,DTR Studio,19 May 2026
Instituto Kelington - Email,Email,19/5/2026,Contactado,,,Instituto Kelington,19 May 2026
IML Granada - Email,Email,19/5/2026,Contactado,,,IML Granada,19 May 2026
Inlingua Granada - Email,Email,19/5/2026,Contactado,,,Inlingua Granada,19 May 2026
Be English Granada - Email,Email,19/5/2026,Contactado,,,Be English Granada,19 May 2026
Gestoría Gispegra - Email,Email,19/5/2026,Contactado,,,Gestoría Gispegra,19 May 2026
Gestoría Luvic - Email,Email,19/5/2026,Contactado,,,Gestoría Luvic,19 May 2026
JM Santander Asesoría - Email,Email,19/5/2026,Contactado,,,JM Santander Asesoría,19 May 2026
MJ Asesores - Email,Email,19/5/2026,Contactado,,,MJ Asesores,19 May 2026
Inmobiliaria Gestión Granada - Email,Email,19/5/2026,Contactado,,,Inmobiliaria Gestión Granada,19 May 2026
Inmobiliaria Granada Oeste - Email,Email,19/5/2026,Contactado,,,Inmobiliaria Granada Oeste,19 May 2026
Dacisa Inmobiliaria - Email,Email,19/5/2026,Contactado,,,Dacisa Inmobiliaria,19 May 2026
Violón Alminares - Email,Email,19/5/2026,Contactado,,,Violón Alminares,19 May 2026
Velgar Catering - Email,Email,19/5/2026,Contactado,,,Velgar Catering,19 May 2026
La Borraja Catering - Email,Email,19/5/2026,Contactado,,,La Borraja Catering,19 May 2026
Escuela Flamenca Mariquilla - Email,Email,19/5/2026,Contactado,,,Escuela Flamenca Mariquilla,19 May 2026
Escuela de Danza Lucía Guarnido - Email,Email,20/5/2026,Contactado,,,Escuela de Danza Lucía Guarnido,20 May 2026
Clínica Veterinaria Salón - Email,Email,20/5/2026,Contactado,,,Clínica Veterinaria Salón,20 May 2026
Clínica Argos Veterinaria - Email,Email,20/5/2026,Contactado,,,Clínica Argos Veterinaria,20 May 2026
NOS Studio Pilates - Email,Email,20/5/2026,Contactado,,,NOS Studio Pilates,20 May 2026
Sulá Pilates - Email,Email,20/5/2026,Contactado,,,Sulá Pilates,20 May 2026
Kore Studio Pilates - Email,Email,20/5/2026,Contactado,,,Kore Studio Pilates,20 May 2026
Fran Ménez Fotógrafo - Email,Email,20/5/2026,Contactado,,,Fran Ménez Fotógrafo,20 May 2026
Diana Luján Fotografía - Email,Email,20/5/2026,Contactado,,,Diana Luján Fotografía,20 May 2026
IMG Creativos - Email,Email,20/5/2026,Contactado,,,IMG Creativos,20 May 2026
Miguel Moba Fotógrafo - Email,Email,20/5/2026,Contactado,,,Miguel Moba Fotógrafo,20 May 2026
Artesano de la Luz - Email,Email,20/5/2026,Contactado,,,Artesano de la Luz,20 May 2026
Cocobolo Interiorismo - Email,Email,20/5/2026,Contactado,,,Cocobolo Interiorismo,20 May 2026
Advance Interiorismo - Email,Email,20/5/2026,Contactado,,,Advance Interiorismo,20 May 2026
