Nombre,Estado,Canal,Teléfono 1,Email,Web,Notas,Ciudad,Carencias,Nº actividades,Oportunidad,Mensaje de contacto,Fecha primer contacto,Linkedin,Número de actividades,Creada,Actividades,Fuente de adquisición,Fecha seguimiento,Responsable,Actividades1,Último seguimiento,Días sin contacto,🚨 Lead Atrasado,Ventas,Mes y año
Cristina López Logopeda,Pendiente,,660 47 32 69,info@cristinalopezlogopeda.es,https://cristinalopezlogopeda.es/,"Logopeda: Cristina López, con equipo multidisciplinar (sin nombres del resto publicados). Carrera de la Virgen 9, 1ºC, Granada.",granada,"Sin sistema de reservas online (solo email/teléfono). Sin perfiles del equipo ni fotos del personal. Datos de salud de pacientes (RGPD), sesiones recurrentes.",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Centro Óptico El Realejo,Pendiente,,958 21 05 23,,https://centroopticoelrealejo.com/,"Fundadora y directora técnica: Pilar Eiroa Mozos (desde 1997). Equipo de ~5 (optometristas + audioprotesista). Plaza del Realejo 8, Granada.",granada,Sin email de contacto publicado en la web. Especialistas en terapia visual y lentes progresivas (ticket alto). Sin sistema de reservas online.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Óptica Mochón,Pendiente,,958 578 015,opticamochon@hotmail.com,,"Centro Óptico y Auditivo Mochón, fundado en 2006. Dos locales: Avda. Poniente 6, Armilla y Ctra. de Granada 2, Ogíjares (tel. 958 847 753).",armilla,"Email corporativo en dominio gratuito de Hotmail, sin web propia detectada. Servicios de óptica + audiología (ticket alto en audífonos). Dos locales = posible necesidad de gestión centralizada.",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Optiprix Zaidín,Pendiente,,958 12 20 18,,https://www.optiprixzaidin.es/,"Óptica independiente con +29 años de trayectoria en el barrio del Zaidín. C/ Palencia 7, Zaidín, Granada.",granada,Sin email ni teléfono de contacto visibles más allá del formulario/WhatsApp en la web. Web moderna pero sin sistema de citas online para revisiones visuales.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
GrandAudition Granada,Pendiente,,958 07 39 46,granada@grandaudition.com,https://grandaudition.es/grandaudition-granada/,"Centro auditivo dirigido localmente por la audióloga Inmaculada Ruiz (red GrandAudition). Avenida Dr. Olóriz 2, Granada. Horario 9-14h y 16-19h. Tel. alternativo 627 179 053.",granada,Sin sistema de reserva online (solo formulario con devolución de llamada). Producto de ticket muy alto (audífonos) con seguimiento recurrente. Trata datos de salud (RGPD).,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Granavet (Vegavet) Veterinaria,Pendiente,,958 982 098,info@granavet.es,http://granavet.es/,"Clínica veterinaria (también conocida como Vegavet). C/ San Ramón 126, Churriana de la Vega. Entrada accesible para sillas de ruedas.",churriana,"Trata datos de mascotas/clientes con visitas recurrentes (vacunas, revisiones) sin recordatorios automatizados aparentes - oportunidad de fidelización digital.",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Clínica Veterinaria Armilla,Pendiente,,958 55 29 34,info@clinicaveterinariaarmilla.com,https://clinicaveterinariaarmilla.es/,"Centro Veterinario Armilla. Calle Poniente 6, local 2, Armilla. +1.150 reseñas, 4.6/5. Urgencias 24h (tel. 608 905 507).",armilla,Sin reserva de citas online (el botón 'Agendar Cita' solo llama por teléfono). Sin perfiles de veterinarios. Alta recurrencia (vacunas/revisiones) = oportunidad de automatización de recordatorios.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Clínica Veterinaria Las Gabias,Pendiente,,958 58 49 30,clinicalasgabias@ono.es,http://www.gabiasvet.es/,"C. del Progreso 51, Las Gabias. +460 reseñas, 4.7/5. Acceso para sillas de ruedas.",las gabias,Email corporativo en dominio antiguo de ONO/Vodafone (prácticamente en desuso) - señal de comunicación desactualizada. Visitas recurrentes (vacunas/revisiones) sin automatización aparente.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Clínica Veterinaria Darwin (Atarfe),Pendiente,,958 105 259,darwin.veterinaria@yahoo.es,https://cvdarwin.es/,"C/ Salitre 21 (junto al Centro de Salud), Atarfe.",atarfe,Email corporativo en dominio gratuito de Yahoo (muy poco profesional/desactualizado). Trata datos de mascotas con visitas recurrentes - oportunidad de modernizar comunicación y reservas.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Carmen Danza,Pendiente,,958 96 15 04,carmendanza@carmendanza.es,https://carmendanza.es/,"Estudio de Danza Carmen, dirigido por Carmen Sánchez Gómez desde 1990. C/ Casillas de Prats 10, Granada. Disciplinas: ballet, danza contemporánea, sevillanas, fitness.",granada,"Web con diseño desactualizado, sin sistema de reservas/matrícula online ni calendario de clases visible. +30 años de trayectoria = alumnado recurrente (cuotas mensuales).",0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
BASMOVE - Escuela de Danza Urbana,Pendiente,,623 173 344,info@basmove.com,https://basmove.com/,"Primera y única escuela especializada en danza urbana de Granada (desde 2008). C/ San Antón 72, 1ª planta, Granada.",granada,Sin sistema de reservas/matrícula integrado (usa Typeform externo). Sin perfiles de profesores. Cuotas mensuales recurrentes = oportunidad de automatización de gestión de alumnos.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Centro Auditivo Granada,Pendiente,,958 20 78 92,,http://centroauditivogranada.com/,"Centro auditivo independiente (sin franquicia), +30 años de trayectoria. Avenida de la Constitución 26, Bajo, Granada.",granada,Sin email de contacto publicado. Producto de ticket muy alto (audífonos) con seguimiento/revisiones recurrentes. Trata datos de salud auditiva (RGPD).,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Clínica Veterinaria ALBICAN,Pendiente,,958 41 06 19,,https://clinicaveterinariaalbican.es/,"Plaza Al-Andalus 2, bajo, Maracena. +418 reseñas, 4.7/5. Urgencias 649 43 70 43. Acceso para sillas de ruedas.",maracena,Sin email de contacto publicado en buscadores. Visitas recurrentes (vacunas/revisiones) - oportunidad de digitalizar recordatorios y fidelización.,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
Clínica Veterinaria Miguel Cabello,Pendiente,,958 46 82 97,cvmcabello@hotmail.com,http://www.clinicamiguelcabello.es/,"Avenida Lucilo Carvajal 2, Bajo, Albolote. Reservas de consultas/cirugías vía Calendly. Urgencias 650 587 045.",albolote,Email corporativo en dominio gratuito de Hotmail. Sin perfiles de veterinarios ni testimonios. Visitas recurrentes (vacunas/revisiones).,0,,,,,0,11/6/2026 9:00am,,Prospección manual (búsqueda web) - jun 2026,,Ana,,,,,,Jun 2026
