Nombre,Estado,Canal,Teléfono,Email,Web,Notas,Ciudad,Carencias
Violón Alminares,Pendiente,,958 133 662,info@violonalminares.com,violonalminares.com,,Granada,Sin herramienta de valoración online. No capta propietarios que buscan tasación antes de llamar.
Velgar Catering,Pendiente,,625 982 470,holavelgar@gmail.com,cateringvelgar.es,,Granada,Email de Gmail poco profesional para clientes corporativos. Sin formulario de presupuesto automatizado.
La Borraja Catering,Pendiente,,958 165 291,info@laborraja.com,laborraja.com,,Granada,Sin sistema automático de presupuestos. Proceso de captación manual y lento para un servicio de alto ticket.
Escuela Flamenca Mariquilla,Pendiente,,958 292 310,mariquilladanza@hotmail.com,mariquilla.com,,Granada,Email de Hotmail. Web muy desactualizada. Sin preinscripción online. No atrae alumno internacional.
Escuela de Danza Lucía Guarnido,Pendiente,,958 255 662,info@luciaguarnido.com,luciaguarnido.com,,Granada,Gestión 100% manual por la propia Lucía. Sin sistema de reserva de clases. Sin recordatorios automáticos.
Clínica Veterinaria Salón,Pendiente,,611 156 511,clinicaveterinariasalon@gmail.com,clinicaveterinariasalon.es,,Granada,Email de Gmail. Sin citas online. Clientes tienen que llamar en horario de consulta.
Clínica Argos Veterinaria,Pendiente,,958 412 003,contacto@argosveterinaria.com,argosveterinaria.com,,Maracena (Granada),Dos clínicas sin recordatorios automáticos de vacunas y revisiones. Pierde visitas recurrentes.
NOS Studio Pilates,Pendiente,,622 889 289,nospilatesestudio@gmail.com,nospilates.es,,Granada,Sin recepción fija y sin bot de reservas. Gmail. Pierde alumnos que escriben y no reciben respuesta rápida.
Sulá Pilates,Pendiente,,671 158 592,info@sulapilates.com,sulapilates.com,,Granada,Solo en castellano. Pierde clientes internacionales del Realejo. Sin SEO en inglés.
Kore Studio Pilates,Pendiente,,629 707 319,info@korestudiopilates.es,korestudiopilates.es,,Granada,Sin SEO específico para pilates con máquinas. Sin onboarding automatizado de nuevos alumnos.
Fran Ménez Fotógrafo,Pendiente,,652 592 145,franmenez@franmenez.com,franmenez.com,,Granada,Sin SEO por localizaciones de boda en Granada. Sin respuesta automática a presupuestos. Depende del boca a boca.
Diana Luján Fotografía,Pendiente,,609 303 055,dianalujanfotografia@hotmail.com,dianalujanfoto.com,,Granada,Email de Hotmail resta profesionalidad. Sin respuesta automática. Imagen no está a la altura del trabajo.
IMG Creativos,Pendiente,,615 108 676,info@imgcreativos.es,imgcreativos.es,,Granada,Sin seguimiento automático de presupuestos enviados. Pierde clientes por falta de seguimiento post-consulta.
Miguel Moba Fotógrafo,Pendiente,,653 477 679,info@miguelmoba.com,miguelmoba.com,,Granada,Sin SEO para bodas en localizaciones concretas de Granada. Depende de recomendaciones para nuevos clientes.
Artesano de la Luz,Pendiente,,648 828 232,info@artesanodelaluz.com,artesanodelaluz.com,,Granada,Sin SEO local para Granada. Solo le encuentran si ya saben su nombre. Sin página específica para bodas en Granada.
Cocobolo Interiorismo,Pendiente,,633 444 717,cocobolointeriorismo@gmail.com,cocobolointeriorismo.com,,Granada,Email de Gmail. Sin email profesional. Sin formulario que cualifique el proyecto y presupuesto del cliente.
Advance Interiorismo,Pendiente,,958 260 000,info@advanceinteriorismo.com,advanceinteriorismo.com,,Granada,Sin SEO. Sin casos de proyecto documentados en blog. Sin formulario de captación que cualifique leads.
